record_id,case_id,source_type,source_id,recorded_phone,variant_type,person_id,is_erroneous
RP00046,CASE0006,subscriber_record,P00394,8517208496,registered,P00394,False
RP00047,CASE0006,fir_entry,FIR00006,6361487874,digit_transposition,P00408,True
RP00048,CASE0006,subscriber_record,P00408,6361487824,registered,P00408,False
RP00049,CASE0007,fir_entry,FIR00007,7939578454,digit_transposition,P00430,True
RP00050,CASE0007,subscriber_record,P00430,7939578654,registered,P00430,False
RP00051,CASE0007,fir_entry,FIR00007,7449134223,digit_transposition,P00441,True
RP00052,CASE0007,subscriber_record,P00441,7449134213,registered,P00441,False
RP00053,CASE0007,fir_entry,FIR00007,7844234709,digit_transposition,P00448,True
RP00054,CASE0007,subscriber_record,P00448,7844234719,registered,P00448,False
RP00055,CASE0007,fir_entry,FIR00007,9392836919,digit_transposition,P00452,True
RP00056,CASE0007,subscriber_record,P00452,9392836929,registered,P00452,False
RP00057,CASE0008,fir_entry,FIR00008,9383182857,digit_transposition,P00458,True
RP00058,CASE0008,subscriber_record,P00458,9383182856,registered,P00458,False
RP00059,CASE0008,fir_entry,FIR00008,6297102461,digit_transposition,P00467,True
RP00060,CASE0008,subscriber_record,P00467,6297102481,registered,P00467,False
RP00061,CASE0008,fir_entry,FIR00008,6374768753,digit_transposition,P00477,True
RP00062,CASE0008,subscriber_record,P00477,6374767753,registered,P00477,False
RP00063,CASE0008,fir_entry,FIR00008,7496556564,digit_transposition,P00502,True
RP00064,CASE0008,subscriber_record,P00502,7496551564,registered,P00502,False
RP00065,CASE0009,fir_entry,FIR00009,9861031610,digit_transposition,P00542,True
RP00066,CASE0009,subscriber_record,P00542,9861031310,registered,P00542,False
RP00067,CASE0009,fir_entry,FIR00009,9468677528,digit_transposition,P00547,True
RP00068,CASE0009,subscriber_record,P00547,9468677524,registered,P00547,False
RP00069,CASE0009,fir_entry,FIR00009,6832812342,digit_transposition,P00564,True
RP00070,CASE0009,subscriber_record,P00564,6832812312,registered,P00564,False
RP00071,CASE0009,fir_entry,FIR00009,6703398314,digit_transposition,P00570,True
RP00072,CASE0009,subscriber_record,P00570,6703398214,registered,P00570,False
RP00073,CASE0010,fir_entry,FIR00010,9314976421,digit_transposition,P00593,True
RP00074,CASE0010,subscriber_record,P00593,9314976461,registered,P00593,False
RP00075,CASE0010,fir_entry,FIR00010,9634533720,digit_transposition,P00601,True
RP00076,CASE0010,subscriber_record,P00601,9634533722,registered,P00601,False
RP00077,CASE0010,fir_entry,FIR00010,7905504981,digit_transposition,P00690,True
RP00078,CASE0010,subscriber_record,P00690,7905504481,registered,P00690,False
RP00079,CASE0010,fir_entry,FIR00010,7176619148,digit_transposition,P00697,True
RP00080,CASE0010,subscriber_record,P00697,7176619128,registered,P00697,False
RP00081,CASE0011,fir_entry,FIR00011,7538921808,digit_transposition,P00705,True
RP00082,CASE0011,subscriber_record,P00705,7538921878,registered,P00705,False
RP00083,CASE0011,fir_entry,FIR00011,7273524104,digit_transposition,P00728,True
RP00084,CASE0011,subscriber_record,P00728,7273524103,registered,P00728,False
RP00085,CASE0011,fir_entry,FIR00011,9585126864,digit_transposition,P00736,True
RP00086,CASE0011,subscriber_record,P00736,9585126861,registered,P00736,False
RP00087,CASE0011,fir_entry,FIR00011,7122355286,digit_transposition,P00741,True
RP00088,CASE0011,subscriber_record,P00741,7122355216,registered,P00741,False
RP00089,CASE0012,fir_entry,FIR00012,9325673224,digit_transposition,P00748,True
RP00090,CASE0012,subscriber_record,P00748,9325673223,registered,P00748,False
RP00091,CASE0012,fir_entry,FIR00012,7654358881,digit_transposition,P00759,True
RP00092,CASE0012,subscriber_record,P00759,7654358841,registered,P00759,False
RP00093,CASE0012,fir_entry,FIR00012,8991192852,digit_transposition,P00776,True
RP00094,CASE0012,subscriber_record,P00776,8991192856,registered,P00776,False
RP00095,CASE0012,fir_entry,FIR00012,9509263283,digit_transposition,P00779,True
RP00096,CASE0012,subscriber_record,P00779,9509263223,registered,P00779,False
RP00097,CASE0013,fir_entry,FIR00013,8885766917,digit_transposition,P00860,True
RP00098,CASE0013,subscriber_record,P00860,8885766947,registered,P00860,False
RP00099,CASE0013,fir_entry,FIR00013,8055939296,digit_transposition,P00865,True
RP00100,CASE0013,subscriber_record,P00865,8055934296,registered,P00865,False
RP00101,CASE0013,fir_entry,FIR00013,9057836093,digit_transposition,P00866,True
RP00102,CASE0013,subscriber_record,P00866,9057836091,registered,P00866,False
RP00103,CASE0013,fir_entry,FIR00013,8381643383,digit_transposition,P00920,True
RP00104,CASE0013,subscriber_record,P00920,8381649383,registered,P00920,False
RP00105,CASE0014,fir_entry,FIR00014,9182498910,digit_transposition,P00929,True
RP00106,CASE0014,subscriber_record,P00929,9182498980,registered,P00929,False
RP00107,CASE0014,fir_entry,FIR00014,6367500941,digit_transposition,P00941,True
RP00108,CASE0014,subscriber_record,P00941,6367500942,registered,P00941,False
RP00109,CASE0014,fir_entry,FIR00014,7160878243,digit_transposition,P01035,True
RP00110,CASE0014,subscriber_record,P01035,7160875243,registered,P01035,False
RP00111,CASE0014,fir_entry,FIR00014,8455139496,digit_transposition,P01099,True
RP00112,CASE0014,subscriber_record,P01099,8455139196,registered,P01099,False
RP00113,CASE0015,fir_entry,FIR00015,6423555833,digit_transposition,P01117,True
RP00114,CASE0015,subscriber_record,P01117,6423552833,registered,P01117,False
RP00115,CASE0015,fir_entry,FIR00015,8132971206,digit_transposition,P01131,True
RP00116,CASE0015,subscriber_record,P01131,8132971506,registered,P01131,False
RP00117,CASE0015,fir_entry,FIR00015,8259959971,digit_transposition,P01150,True
RP00118,CASE0015,subscriber_record,P01150,8259959961,registered,P01150,False
RP00119,CASE0015,fir_entry,FIR00015,6878844340,digit_transposition,P01183,True
RP00120,CASE0015,subscriber_record,P01183,6878844344,registered,P01183,False
RP00121,CASE0016,fir_entry,FIR00016,6796859092,digit_transposition,P01207,True
RP00122,CASE0016,subscriber_record,P01207,6796859096,registered,P01207,False
RP00123,CASE0016,fir_entry,FIR00016,7965561926,digit_transposition,P01210,True
RP00124,CASE0016,subscriber_record,P01210,7965561927,registered,P01210,False
RP00125,CASE0016,fir_entry,FIR00016,8630040136,digit_transposition,P01233,True
RP00126,CASE0016,subscriber_record,P01233,8630040236,registered,P01233,False
RP00127,CASE0016,fir_entry,FIR00016,7067546393,digit_transposition,P01237,True
RP00128,CASE0016,subscriber_record,P01237,7067549393,registered,P01237,False
RP00129,CASE0017,fir_entry,FIR00017,9485950259,digit_transposition,P01267,True
RP00130,CASE0017,subscriber_record,P01267,9485953259,registered,P01267,False
RP00131,CASE0017,fir_entry,FIR00017,6966452619,digit_transposition,P01288,True
RP00132,CASE0017,subscriber_record,P01288,6966452319,registered,P01288,False
RP00133,CASE0017,fir_entry,FIR00017,8725459600,digit_transposition,P01302,True
RP00134,CASE0017,subscriber_record,P01302,8725459606,registered,P01302,False
RP00135,CASE0017,fir_entry,FIR00017,8473403337,digit_transposition,P01310,True
RP00136,CASE0017,subscriber_record,P01310,8473404337,registered,P01310,False
RP00137,CASE0018,fir_entry,FIR00018,8926932659,digit_transposition,P01331,True
RP00138,CASE0018,subscriber_record,P01331,8926932657,registered,P01331,False
RP00139,CASE0018,fir_entry,FIR00018,7662015700,digit_transposition,P01355,True
RP00140,CASE0018,subscriber_record,P01355,7662015720,registered,P01355,False
RP00141,CASE0018,fir_entry,FIR00018,9572243299,digit_transposition,P01373,True
RP00142,CASE0018,subscriber_record,P01373,9572240299,registered,P01373,False
RP00143,CASE0018,fir_entry,FIR00018,6703037627,digit_transposition,P01386,True
RP00144,CASE0018,subscriber_record,P01386,6703037637,registered,P01386,False
RP00145,CASE0019,fir_entry,FIR00019,9694470387,digit_transposition,P01430,True
RP00146,CASE0019,subscriber_record,P01430,9694473387,registered,P01430,False
RP00147,CASE0019,fir_entry,FIR00019,6523045481,digit_transposition,P01437,True
RP00148,CASE0019,subscriber_record,P01437,6523045881,registered,P01437,False
RP00149,CASE0019,fir_entry,FIR00019,9005595507,digit_transposition,P01438,True
RP00150,CASE0019,subscriber_record,P01438,9005595501,registered,P01438,False
RP00151,CASE0019,fir_entry,FIR00019,6996433953,digit_transposition,P01443,True
RP00152,CASE0019,subscriber_record,P01443,6996433853,registered,P01443,False
RP00153,CASE0020,fir_entry,FIR00020,8857491126,digit_transposition,P01467,True
RP00154,CASE0020,subscriber_record,P01467,8857491106,registered,P01467,False
RP00155,CASE0020,fir_entry,FIR00020,9158029490,digit_transposition,P01495,True
RP00156,CASE0020,subscriber_record,P01495,9158029090,registered,P01495,False
RP00157,CASE0020,fir_entry,FIR00020,8966018678,digit_transposition,P01509,True
RP00158,CASE0020,subscriber_record,P01509,8966018648,registered,P01509,False
RP00159,CASE0020,fir_entry,FIR00020,9238991991,digit_transposition,P01517,True
RP00160,CASE0020,subscriber_record,P01517,9238994991,registered,P01517,False
RP00161,CASE0021,fir_entry,FIR00021,7484587449,digit_transposition,P01519,True
RP00162,CASE0021,subscriber_record,P01519,7484587149,registered,P01519,False
RP00163,CASE0021,fir_entry,FIR00021,9734997010,digit_transposition,P01555,True
RP00164,CASE0021,subscriber_record,P01555,9734996010,registered,P01555,False
RP00165,CASE0021,fir_entry,FIR00021,8794756166,digit_transposition,P01564,True
RP00166,CASE0021,subscriber_record,P01564,8794758166,registered,P01564,False
RP00167,CASE0021,fir_entry,FIR00021,6286715007,digit_transposition,P01584,True
RP00168,CASE0021,subscriber_record,P01584,6286712007,registered,P01584,False
RP00169,CASE0022,fir_entry,FIR00022,6753840852,digit_transposition,P01651,True
RP00170,CASE0022,subscriber_record,P01651,6753841852,registered,P01651,False
RP00171,CASE0022,fir_entry,FIR00022,6035624795,digit_transposition,P01653,True
RP00172,CASE0022,subscriber_record,P01653,6035624395,registered,P01653,False
RP00173,CASE0022,fir_entry,FIR00022,6566588439,digit_transposition,P01658,True
RP00174,CASE0022,subscriber_record,P01658,6566588339,registered,P01658,False
RP00175,CASE0022,fir_entry,FIR00022,6608277016,digit_transposition,P01699,True
RP00176,CASE0022,subscriber_record,P01699,6608277056,registered,P01699,False
RP00177,CASE0023,fir_entry,FIR00023,6477423859,digit_transposition,P01709,True
RP00178,CASE0023,subscriber_record,P01709,6477425859,registered,P01709,False
RP00179,CASE0023,fir_entry,FIR00023,9209184350,digit_transposition,P01736,True
RP00180,CASE0023,subscriber_record,P01736,9209184357,registered,P01736,False
RP00181,CASE0023,fir_entry,FIR00023,6179720388,digit_transposition,P01752,True
RP00182,CASE0023,subscriber_record,P01752,6179720385,registered,P01752,False
RP00183,CASE0023,fir_entry,FIR00023,6423573182,digit_transposition,P01765,True
RP00184,CASE0023,subscriber_record,P01765,6423573189,registered,P01765,False
RP00185,CASE0024,fir_entry,FIR00024,9254384867,digit_transposition,P01775,True
RP00186,CASE0024,subscriber_record,P01775,9254384807,registered,P01775,False
RP00187,CASE0024,fir_entry,FIR00024,7407875478,digit_transposition,P01781,True
RP00188,CASE0024,subscriber_record,P01781,7407875418,registered,P01781,False
RP00189,CASE0024,fir_entry,FIR00024,6685382097,digit_transposition,P01814,True
RP00190,CASE0024,subscriber_record,P01814,6685389097,registered,P01814,False
RP00191,CASE0024,fir_entry,FIR00024,9022939429,digit_transposition,P01828,True
RP00192,CASE0024,subscriber_record,P01828,9022939469,registered,P01828,False
RP00193,CASE0025,fir_entry,FIR00025,9258890792,digit_transposition,P01889,True
RP00194,CASE0025,subscriber_record,P01889,9258896792,registered,P01889,False
RP00195,CASE0025,fir_entry,FIR00025,7170695568,digit_transposition,P01919,True
RP00196,CASE0025,subscriber_record,P01919,7170695560,registered,P01919,False
RP00197,CASE0025,fir_entry,FIR00025,6546602406,digit_transposition,P01961,True
RP00198,CASE0025,subscriber_record,P01961,6546602416,registered,P01961,False
RP00199,CASE0025,fir_entry,FIR00025,9014262030,digit_transposition,P01993,True
RP00200,CASE0025,subscriber_record,P01993,9014262037,registered,P01993,False
