record_id,case_id,source_type,source_id,recorded_name,recorded_dob,variant_type,person_id,is_erroneous
RN00022,CASE0005,fir_entry,FIR00005,Rohan RReddy,2003-02-01,manual_typo,P00319,True
RN00023,CASE0006,fir_entry,FIR00006,Nisha Kumay,1979-04-11,manual_typo,P00327,True
RN00024,CASE0006,fir_entry,FIR00006,Imran Anasri,1984-02-06,manual_typo,P00334,True
RN00025,CASE0006,fir_entry,FIR00006,Rahul Iyre,1970-03-05,manual_typo,P00394,True
RN00026,CASE0006,fir_entry,FIR00006,Ramesh Khaan,1982-08-17,manual_typo,P00408,True
RN00027,CASE0007,fir_entry,FIR00007,Neha Banerjey,1962-03-15,manual_typo,P00430,True
RN00028,CASE0007,fir_entry,FIR00007,Suresh Mirzza,1980-05-30,manual_typo,P00441,True
RN00029,CASE0007,marriage_registry,CASE0007,Vikram Patel,1965-01-17,married_surname,P00448,False
RN00030,CASE0007,fir_entry,FIR00007,Vikram Pillay,1965-01-17,manual_typo,P00448,True
RN00031,CASE0007,fir_entry,FIR00007,Diya Desai,1971-03-16,manual_typo,P00452,True
RN00032,CASE0008,fir_entry,FIR00008,Rizwan Mrza,2001-03-06,manual_typo,P00458,True
RN00033,CASE0008,marriage_registry,CASE0008,Sana Mukherjee,1983-07-03,married_surname,P00467,False
RN00034,CASE0008,fir_entry,FIR00008,Sana Jooshi,1983-07-03,manual_typo,P00467,True
RN00035,CASE0008,fir_entry,FIR00008,Suresh Vrema,2000-08-29,manual_typo,P00477,True
RN00036,CASE0008,fir_entry,FIR00008,Sana Redy,1995-04-18,manual_typo,P00502,True
RN00037,CASE0009,fir_entry,FIR00009,Diya Kaapoor,2001-03-21,manual_typo,P00542,True
RN00038,CASE0009,fir_entry,FIR00009,Ashok Mukherjey,1970-03-13,manual_typo,P00547,True
RN00039,CASE0009,fir_entry,FIR00009,Neha Ali,1975-08-18,manual_typo,P00564,True
RN00040,CASE0009,fir_entry,FIR00009,Riya Mkherjee,1974-10-14,manual_typo,P00570,True
RN00041,CASE0010,fir_entry,FIR00010,Deepak Dai,1993-11-02,manual_typo,P00593,True
RN00042,CASE0010,fir_entry,FIR00010,Pallavi Naiir,1983-12-19,manual_typo,P00601,True
RN00043,CASE0010,fir_entry,FIR00010,Manoj Hussaii,1991-02-27,manual_typo,P00690,True
RN00044,CASE0010,marriage_registry,CASE0010,Prakash Qureshi,1993-04-27,married_surname,P00697,False
RN00045,CASE0010,fir_entry,FIR00010,Prakash Nari,1993-04-27,manual_typo,P00697,True
RN00046,CASE0011,fir_entry,FIR00011,Farhan Shiekh,1993-09-15,manual_typo,P00705,True
RN00047,CASE0011,fir_entry,FIR00011,Vikram Ali,1979-04-19,manual_typo,P00728,True
RN00048,CASE0011,fir_entry,FIR00011,Arjun Chpra,2002-07-28,manual_typo,P00736,True
RN00049,CASE0011,fir_entry,FIR00011,Ayesha Rddy,1992-07-04,manual_typo,P00741,True
RN00050,CASE0012,fir_entry,FIR00012,Ishaan Redy,1968-05-19,manual_typo,P00748,True
RN00051,CASE0012,fir_entry,FIR00012,Vivaan Banerjee,1964-08-05,manual_typo,P00759,True
RN00052,CASE0012,marriage_registry,CASE0012,Lakshmi Naik,1994-10-04,married_surname,P00776,False
RN00053,CASE0012,fir_entry,FIR00012,Lakshmi Kaoor,1994-10-04,manual_typo,P00776,True
RN00054,CASE0012,fir_entry,FIR00012,Riya Khaa,1994-08-16,manual_typo,P00779,True
RN00055,CASE0013,fir_entry,FIR00013,Rizwan Mlhotra,1971-04-27,manual_typo,P00860,True
RN00056,CASE0013,fir_entry,FIR00013,Sanjay Nari,1985-07-20,manual_typo,P00865,True
RN00057,CASE0013,fir_entry,FIR00013,Prakash Mirza,1966-05-03,manual_typo,P00866,True
RN00058,CASE0013,fir_entry,FIR00013,Salman Iyee,1978-04-24,manual_typo,P00920,True
RN00059,CASE0014,marriage_registry,CASE0014,Kiran Malhotra,1982-11-19,married_surname,P00929,False
RN00060,CASE0014,fir_entry,FIR00014,Kiran Sinhg,1982-11-19,manual_typo,P00929,True
RN00061,CASE0014,marriage_registry,CASE0014,Zara Pillai,1975-02-15,married_surname,P00941,False
RN00062,CASE0014,fir_entry,FIR00014,Zara Siingh,1975-02-15,manual_typo,P00941,True
RN00063,CASE0014,fir_entry,FIR00014,Sana Deesai,1983-07-01,manual_typo,P01035,True
RN00064,CASE0014,fir_entry,FIR00014,Suresh Menoi,1964-08-01,manual_typo,P01099,True
RN00065,CASE0015,fir_entry,FIR00015,Ananya Kapooor,1994-02-06,manual_typo,P01117,True
RN00066,CASE0015,fir_entry,FIR00015,Shreya Rae,1983-06-24,manual_typo,P01131,True
RN00067,CASE0015,fir_entry,FIR00015,Harish Mennon,1988-07-26,manual_typo,P01150,True
RN00068,CASE0015,fir_entry,FIR00015,Kabir Mehty,1987-03-07,manual_typo,P01183,True
RN00069,CASE0016,marriage_registry,CASE0016,Vikram Mehta,1999-02-04,married_surname,P01207,False
RN00070,CASE0016,fir_entry,FIR00016,Vikram Vera,1999-02-04,manual_typo,P01207,True
RN00071,CASE0016,fir_entry,FIR00016,Gopal Ansary,1988-10-18,manual_typo,P01210,True
RN00072,CASE0016,fir_entry,FIR00016,Salman Dai,1993-03-04,manual_typo,P01233,True
RN00073,CASE0016,fir_entry,FIR00016,Rohan Singe,1971-01-09,manual_typo,P01237,True
RN00074,CASE0017,fir_entry,FIR00017,Sneha Hussaii,1964-08-28,manual_typo,P01267,True
RN00075,CASE0017,fir_entry,FIR00017,Ramesh Anasri,1992-05-04,manual_typo,P01288,True
RN00076,CASE0017,fir_entry,FIR00017,Fatima Day,1985-10-17,manual_typo,P01302,True
RN00077,CASE0017,fir_entry,FIR00017,Lakshmi Iyeer,1966-09-20,manual_typo,P01310,True
RN00078,CASE0018,fir_entry,FIR00018,Rizwan Pattel,1979-05-11,manual_typo,P01331,True
RN00079,CASE0018,fir_entry,FIR00018,Sneha Mukherjee,2001-12-01,manual_typo,P01355,True
RN00080,CASE0018,marriage_registry,CASE0018,Zara Singh,1964-07-13,married_surname,P01373,False
RN00081,CASE0018,fir_entry,FIR00018,Zara Sharmma,1964-07-13,manual_typo,P01373,True
RN00082,CASE0018,fir_entry,FIR00018,Fatima Menonn,1975-06-23,manual_typo,P01386,True
RN00083,CASE0019,fir_entry,FIR00019,Reyansh iMrza,1968-12-14,manual_typo,P01430,True
RN00084,CASE0019,fir_entry,FIR00019,Fatima Mukherjea,1974-02-16,manual_typo,P01437,True
RN00085,CASE0019,fir_entry,FIR00019,Diya Patell,2004-06-15,manual_typo,P01438,True
RN00086,CASE0019,marriage_registry,CASE0019,Kavya Nair,1999-05-26,married_surname,P01443,False
RN00087,CASE0019,fir_entry,FIR00019,Kavya Kapooor,1999-05-26,manual_typo,P01443,True
RN00088,CASE0020,fir_entry,FIR00020,Gopal DDesai,1998-06-11,manual_typo,P01467,True
RN00089,CASE0020,fir_entry,FIR00020,Kiran Mirzza,2005-12-19,manual_typo,P01495,True
RN00090,CASE0020,fir_entry,FIR00020,Vikram Mukherjeee,2004-03-12,manual_typo,P01509,True
RN00091,CASE0020,fir_entry,FIR00020,Ishaan Ali,1990-04-18,manual_typo,P01517,True
RN00092,CASE0021,fir_entry,FIR00021,Neha Josi,1993-08-20,manual_typo,P01519,True
RN00093,CASE0021,fir_entry,FIR00021,Arjun Mneon,1979-11-08,manual_typo,P01555,True
RN00094,CASE0021,fir_entry,FIR00021,Neha Gpta,2004-12-15,manual_typo,P01564,True
RN00095,CASE0021,fir_entry,FIR00021,Reyansh Naaik,1972-07-15,manual_typo,P01584,True
RN00096,CASE0022,marriage_registry,CASE0022,Vinod Mukherjee,1972-02-12,married_surname,P01651,False
RN00097,CASE0022,fir_entry,FIR00022,Vinod Kaoor,1972-02-12,manual_typo,P01651,True
RN00098,CASE0022,fir_entry,FIR00022,Amit Iyei,1982-11-09,manual_typo,P01653,True
RN00099,CASE0022,fir_entry,FIR00022,Ashok Mkherjee,1975-08-19,manual_typo,P01658,True
RN00100,CASE0022,fir_entry,FIR00022,Ramesh eMnon,1996-01-29,manual_typo,P01699,True
RN00101,CASE0023,fir_entry,FIR00023,Manoj Rddy,1985-05-17,manual_typo,P01709,True
RN00102,CASE0023,fir_entry,FIR00023,Lakshmi Ptael,1980-07-20,manual_typo,P01736,True
RN00103,CASE0023,marriage_registry,CASE0023,Vikram Chopra,1980-06-27,married_surname,P01752,False
RN00104,CASE0023,fir_entry,FIR00023,Vikram Ali,1980-06-27,manual_typo,P01752,True
RN00105,CASE0023,marriage_registry,CASE0023,Rohan Ansari,1992-12-14,married_surname,P01765,False
RN00106,CASE0023,fir_entry,FIR00023,Rohan Sharam,1992-12-14,manual_typo,P01765,True
RN00107,CASE0024,fir_entry,FIR00024,Meera Naia,1973-01-12,manual_typo,P01775,True
RN00108,CASE0024,fir_entry,FIR00024,Pallavi Kumr,1995-05-14,manual_typo,P01781,True
RN00109,CASE0024,fir_entry,FIR00024,Shreya Mehte,1993-08-30,manual_typo,P01814,True
RN00110,CASE0024,fir_entry,FIR00024,Sanjay Vemra,1994-03-19,manual_typo,P01828,True
RN00111,CASE0025,fir_entry,FIR00025,Ashok Gupty,1961-05-30,manual_typo,P01889,True
RN00112,CASE0025,fir_entry,FIR00025,Arjun yIer,1970-02-10,manual_typo,P01919,True
RN00113,CASE0025,fir_entry,FIR00025,Rizwan Kappoor,2005-08-11,manual_typo,P01961,True
RN00114,CASE0025,fir_entry,FIR00025,Suresh NNaik,1965-11-12,manual_typo,P01993,True
RN00115,CASE0022,field_note,NOTE0001,Riya Pillai,,unresolved_alias,,True
RN00116,CASE0021,field_note,NOTE0002,Deepak Sharma,,unresolved_alias,,True
RN00117,CASE0171,field_note,NOTE0003,Naveen Mirza,,unresolved_alias,,True
RN00118,CASE0205,field_note,NOTE0004,Farhan Ansari,,unresolved_alias,,True
RN00119,CASE0009,field_note,NOTE0005,Nisha Nair,,unresolved_alias,,True
RN00120,CASE0191,field_note,NOTE0006,Swati Nair,,unresolved_alias,,True
RN00121,CASE0147,field_note,NOTE0007,Kiran Desai,,unresolved_alias,,True
RN00122,CASE0019,field_note,NOTE0008,Priya Verma,,unresolved_alias,,True
RN00123,CASE0198,field_note,NOTE0009,Ayesha Das,,unresolved_alias,,True
RN00124,CASE0039,field_note,NOTE0010,Kavya Nair,,unresolved_alias,,True
RN00125,CASE0050,field_note,NOTE0011,Suresh Qureshi,,unresolved_alias,,True
RN00126,CASE0047,field_note,NOTE0012,Riya Nair,,unresolved_alias,,True
RN00127,CASE0037,field_note,NOTE0013,Ayesha Iyer,,unresolved_alias,,True
RN00128,CASE0010,field_note,NOTE0014,Ramesh Pillai,,unresolved_alias,,True
RN00129,CASE0118,field_note,NOTE0015,Fatima Patel,,unresolved_alias,,True
RN00130,CASE0180,field_note,NOTE0016,Kabir Naik,,unresolved_alias,,True
RN00131,CASE0047,field_note,NOTE0017,Neha Mukherjee,,unresolved_alias,,True
RN00132,CASE0193,field_note,NOTE0018,Ananya Sheikh,,unresolved_alias,,True
RN00133,CASE0027,field_note,NOTE0019,Pooja Iyer,,unresolved_alias,,True
RN00134,CASE0069,field_note,NOTE0020,Ananya Ali,,unresolved_alias,,True
RN00135,CASE0050,field_note,NOTE0021,Swati Mehta,,unresolved_alias,,True
RN00136,CASE0182,field_note,NOTE0022,Riya Sheikh,,unresolved_alias,,True
RN00137,CASE0206,field_note,NOTE0023,Tanvi Khan,,unresolved_alias,,True
RN00138,CASE0210,field_note,NOTE0024,Diya Ali,,unresolved_alias,,True
RN00139,CASE0194,field_note,NOTE0025,Ananya Iyer,,unresolved_alias,,True
RN00140,CASE0232,field_note,NOTE0026,Ramesh Das,,unresolved_alias,,True
RN00141,CASE0227,field_note,NOTE0027,Kavya Verma,,unresolved_alias,,True
RN00142,CASE0015,field_note,NOTE0028,Vivaan Chopra,,unresolved_alias,,True
RN00143,CASE0109,field_note,NOTE0029,Diya Chatterjee,,unresolved_alias,,True
RN00144,CASE0071,field_note,NOTE0030,Sneha Sheikh,,unresolved_alias,,True
RN00145,CASE0147,field_note,NOTE0031,Kiran Pillai,,unresolved_alias,,True
RN00146,CASE0044,field_note,NOTE0032,Rahul Reddy,,unresolved_alias,,True
RN00147,CASE0047,field_note,NOTE0033,Swati Banerjee,,unresolved_alias,,True
RN00148,CASE0049,field_note,NOTE0034,Suresh Khan,,unresolved_alias,,True
RN00149,CASE0109,field_note,NOTE0035,Priya Menon,,unresolved_alias,,True
RN00150,CASE0160,field_note,NOTE0036,Aditya Verma,,unresolved_alias,,True
RN00151,CASE0088,field_note,NOTE0037,Diya Nair,,unresolved_alias,,True
RN00152,CASE0113,field_note,NOTE0038,Kiran Joshi,,unresolved_alias,,True
RN00153,CASE0136,field_note,NOTE0039,Harish Hussain,,unresolved_alias,,True
RN00154,CASE0136,field_note,NOTE0040,Swati Kumar,,unresolved_alias,,True
RN00155,CASE0073,field_note,NOTE0041,Riya Naik,,unresolved_alias,,True
RN00156,CASE0102,field_note,NOTE0042,Sanjay Gupta,,unresolved_alias,,True
RN00157,CASE0173,field_note,NOTE0043,Ramesh Iyer,,unresolved_alias,,True
RN00158,CASE0068,field_note,NOTE0044,Pallavi Chatterjee,,unresolved_alias,,True
RN00159,CASE0121,field_note,NOTE0045,Arjun Iyer,,unresolved_alias,,True
RN00160,CASE0033,field_note,NOTE0046,Gopal Mukherjee,,unresolved_alias,,True
RN00161,CASE0076,field_note,NOTE0047,Rizwan Patel,,unresolved_alias,,True
RN00162,CASE0069,field_note,NOTE0048,Suresh Malhotra,,unresolved_alias,,True
RN00163,CASE0224,field_note,NOTE0049,Deepak Malhotra,,unresolved_alias,,True
RN00164,CASE0088,field_note,NOTE0050,Ashok Naik,,unresolved_alias,,True
RN00165,CASE0080,field_note,NOTE0051,Naveen Pillai,,unresolved_alias,,True
RN00166,CASE0062,field_note,NOTE0052,Neha Khan,,unresolved_alias,,True
RN00167,CASE0123,field_note,NOTE0053,Ramesh Reddy,,unresolved_alias,,True
RN00168,CASE0233,field_note,NOTE0054,Arjun Mukherjee,,unresolved_alias,,True
RN00169,CASE0160,field_note,NOTE0055,Rizwan Desai,,unresolved_alias,,True
RN00170,CASE0092,field_note,NOTE0056,Shreya Kumar,,unresolved_alias,,True
RN00171,CASE0177,field_note,NOTE0057,Diya Naik,,unresolved_alias,,True
RN00172,CASE0031,field_note,NOTE0058,Vivaan Verma,,unresolved_alias,,True
RN00173,CASE0086,field_note,NOTE0059,Kiran Ansari,,unresolved_alias,,True
RN00174,CASE0147,field_note,NOTE0060,Rohan Pillai,,unresolved_alias,,True
RN00175,CASE0143,field_note,NOTE0061,Naveen Reddy,,unresolved_alias,,True
RN00176,CASE0109,field_note,NOTE0062,Nisha Menon,,unresolved_alias,,True
RN00177,CASE0031,field_note,NOTE0063,Kiran Patel,,unresolved_alias,,True
RN00178,CASE0023,field_note,NOTE0064,Fatima Gupta,,unresolved_alias,,True
RN00179,CASE0200,field_note,NOTE0065,Tanvi Gupta,,unresolved_alias,,True
RN00180,CASE0208,field_note,NOTE0066,Manoj Gupta,,unresolved_alias,,True
RN00181,CASE0008,field_note,NOTE0067,Aarav Mehta,,unresolved_alias,,True
RN00182,CASE0165,field_note,NOTE0068,Nisha Rao,,unresolved_alias,,True
RN00183,CASE0176,field_note,NOTE0069,Priya Nair,,unresolved_alias,,True
RN00184,CASE0198,field_note,NOTE0070,Sunil Kapoor,,unresolved_alias,,True
RN00185,CASE0133,field_note,NOTE0071,Kavya Mukherjee,,unresolved_alias,,True
RN00186,CASE0006,field_note,NOTE0072,Pallavi Joshi,,unresolved_alias,,True
RN00187,CASE0060,field_note,NOTE0073,Manoj Ali,,unresolved_alias,,True
RN00188,CASE0220,field_note,NOTE0074,Imran Chatterjee,,unresolved_alias,,True
RN00189,CASE0070,field_note,NOTE0075,Harish Nair,,unresolved_alias,,True
RN00190,CASE0128,field_note,NOTE0076,Rohan Sheikh,,unresolved_alias,,True
RN00191,CASE0199,field_note,NOTE0077,Zara Chopra,,unresolved_alias,,True
RN00192,CASE0143,field_note,NOTE0078,Ananya Singh,,unresolved_alias,,True
RN00193,CASE0059,field_note,NOTE0079,Riya Mukherjee,,unresolved_alias,,True
RN00194,CASE0091,field_note,NOTE0080,Ishaan Chopra,,unresolved_alias,,True
RN00195,CASE0111,field_note,NOTE0081,Sneha Ansari,,unresolved_alias,,True
RN00196,CASE0029,field_note,NOTE0082,Harish Mehta,,unresolved_alias,,True
RN00197,CASE0148,field_note,NOTE0083,Prakash Gupta,,unresolved_alias,,True
RN00198,CASE0074,field_note,NOTE0084,Reyansh Iyer,,unresolved_alias,,True
RN00199,CASE0077,field_note,NOTE0085,Deepak Ali,,unresolved_alias,,True
RN00200,CASE0229,field_note,NOTE0086,Kiran Ali,,unresolved_alias,,True
RN00201,CASE0212,field_note,NOTE0087,Arjun Mukherjee,,unresolved_alias,,True
RN00202,CASE0027,field_note,NOTE0088,Lakshmi Verma,,unresolved_alias,,True
RN00203,CASE0081,field_note,NOTE0089,Salman Naik,,unresolved_alias,,True
RN00204,CASE0056,field_note,NOTE0090,Suresh Iyer,,unresolved_alias,,True
RN00205,CASE0057,field_note,NOTE0091,Kiran Desai,,unresolved_alias,,True
RN00206,CASE0227,field_note,NOTE0092,Kiran Qureshi,,unresolved_alias,,True
RN00207,CASE0200,field_note,NOTE0093,Vinod Menon,,unresolved_alias,,True
RN00208,CASE0168,field_note,NOTE0094,Rizwan Banerjee,,unresolved_alias,,True
RN00209,CASE0223,field_note,NOTE0095,Farhan Mehta,,unresolved_alias,,True
RN00210,CASE0193,field_note,NOTE0096,Vikram Rao,,unresolved_alias,,True
RN00211,CASE0199,field_note,NOTE0097,Riya Sharma,,unresolved_alias,,True
RN00212,CASE0150,field_note,NOTE0098,Deepak Reddy,,unresolved_alias,,True
RN00213,CASE0162,field_note,NOTE0099,Kiran Malhotra,,unresolved_alias,,True
RN00214,CASE0027,field_note,NOTE0100,Salman Gupta,,unresolved_alias,,True
RN00215,CASE0142,field_note,NOTE0101,Aarav Ali,,unresolved_alias,,True
RN00216,CASE0016,field_note,NOTE0102,Sana Rao,,unresolved_alias,,True
RN00217,CASE0105,field_note,NOTE0103,Pooja Mehta,,unresolved_alias,,True
RN00218,CASE0116,field_note,NOTE0104,Amit Naik,,unresolved_alias,,True
RN00219,CASE0202,field_note,NOTE0105,Ayesha Gupta,,unresolved_alias,,True
RN00220,CASE0138,field_note,NOTE0106,Diya Mukherjee,,unresolved_alias,,True
RN00221,CASE0186,field_note,NOTE0107,Harish Reddy,,unresolved_alias,,True
RN00222,CASE0086,field_note,NOTE0108,Ashok Chatterjee,,unresolved_alias,,True
RN00223,CASE0121,field_note,NOTE0109,Naveen Rao,,unresolved_alias,,True
RN00224,CASE0078,field_note,NOTE0110,Manoj Ansari,,unresolved_alias,,True
RN00225,CASE0089,field_note,NOTE0111,Vikram Sharma,,unresolved_alias,,True
RN00226,CASE0240,field_note,NOTE0112,Rajesh Ali,,unresolved_alias,,True
RN00227,CASE0237,field_note,NOTE0113,Ishaan Sheikh,,unresolved_alias,,True
RN00228,CASE0081,field_note,NOTE0114,Prakash Sheikh,,unresolved_alias,,True
RN00229,CASE0125,field_note,NOTE0115,Zara Chatterjee,,unresolved_alias,,True
RN00230,CASE0203,field_note,NOTE0116,Vivaan Ansari,,unresolved_alias,,True
RN00231,CASE0072,field_note,NOTE0117,Harish Ansari,,unresolved_alias,,True
RN00232,CASE0014,field_note,NOTE0118,Neha Patel,,unresolved_alias,,True
RN00233,CASE0199,field_note,NOTE0119,Shreya Kapoor,,unresolved_alias,,True
RN00234,CASE0209,field_note,NOTE0120,Imran Chatterjee,,unresolved_alias,,True
