account_id,account_number,person_id,bank_name
A00102,92303606778719,P00705,Synthetic Cooperative Bank
A00103,97265571364967,P00522,Mock Union Bank
A00104,14537525744882,P01392,Mock Union Bank
A00105,69901851115673,P00271,Synthetic Cooperative Bank
A00106,51576467050680,P01086,Synthetic Cooperative Bank
A00107,31934650275860,P01001,Synthetic Cooperative Bank
A00108,45633389234952,P01836,Mock Union Bank
A00109,70515578263880,P01531,Synthetic Cooperative Bank
A00110,42716186286974,P01602,Sample Trust Bank
A00111,23703854787268,P00824,Fictional National Bank
A00112,31922941232806,P01140,Synthetic Cooperative Bank
A00113,94185455418925,P00690,Synthetic Cooperative Bank
A00114,00356303282673,P00169,Mock Union Bank
A00115,90479865716896,P01332,Synthetic Cooperative Bank
A00116,25086286856434,P00182,Sample Trust Bank
A00117,88230925872894,P00759,Sample Trust Bank
A00118,36316330846017,P00924,Synthetic Cooperative Bank
A00119,28033649084749,P01484,Fictional National Bank
A00120,63430310166366,P01262,Synthetic Cooperative Bank
A00121,28455414085796,P01969,Synthetic Cooperative Bank
A00122,95110848610660,P00319,Fictional National Bank
A00123,60469017495389,P00358,Fictional National Bank
A00124,62441066788457,P01812,Synthetic Cooperative Bank
A00125,21650242389354,P01693,Mock Union Bank
A00126,07110729850230,P01690,Mock Union Bank
A00127,06671485333171,P01276,Mock Union Bank
A00128,55412982492202,P00900,Fictional National Bank
A00129,20895217680126,P00705,Sample Trust Bank
A00130,05073249139430,P00326,Synthetic Cooperative Bank
A00131,25027496238384,P01633,Mock Union Bank
A00132,37654399942858,P00093,Fictional National Bank
A00133,08641486329085,P00377,Fictional National Bank
A00134,04871590518237,P00656,Sample Trust Bank
A00135,09074447939117,P00333,Fictional National Bank
A00136,40034568848657,P00958,Synthetic Cooperative Bank
A00137,49666072366047,P00946,Mock Union Bank
A00138,08180368938252,P00200,Mock Union Bank
A00139,39351602695775,P00011,Synthetic Cooperative Bank
A00140,66848031636781,P01376,Sample Trust Bank
A00141,48135376429839,P00618,Synthetic Cooperative Bank
A00142,95395260885329,P00024,Sample Trust Bank
A00143,40114997475473,P01754,Sample Trust Bank
A00144,04990967819456,P01708,Mock Union Bank
A00145,73961034057368,P01149,Fictional National Bank
A00146,80417569430721,P01838,Sample Trust Bank
A00147,16991658723634,P01320,Fictional National Bank
A00148,48578671265728,P00229,Fictional National Bank
A00149,29127898852499,P01106,Fictional National Bank
A00150,60841585537304,P01246,Synthetic Cooperative Bank
A00151,63185596707169,P00901,Mock Union Bank
A00152,14400040756023,P00500,Fictional National Bank
A00153,64079729682288,P00099,Mock Union Bank
A00154,42734497992519,P01495,Sample Trust Bank
A00155,66547587837105,P01376,Synthetic Cooperative Bank
A00156,25906771853601,P01947,Sample Trust Bank
A00157,30402560041316,P00567,Sample Trust Bank
A00158,75270712797176,P01689,Synthetic Cooperative Bank
A00159,50642729904388,P01477,Fictional National Bank
A00160,67622702543163,P00964,Fictional National Bank
A00161,46472560467820,P00625,Synthetic Cooperative Bank
A00162,06155026134097,P00861,Synthetic Cooperative Bank
A00163,22066766540532,P00184,Mock Union Bank
A00164,16943532861780,P00307,Mock Union Bank
A00165,13805732136788,P01107,Sample Trust Bank
A00166,55261510705570,P00581,Mock Union Bank
A00167,29508687441235,P01925,Sample Trust Bank
A00168,58692635600625,P01309,Mock Union Bank
A00169,17975193784953,P00125,Fictional National Bank
A00170,27344580197621,P01664,Synthetic Cooperative Bank
A00171,61646152653222,P01872,Mock Union Bank
A00172,70810148129719,P01799,Mock Union Bank
A00173,89437481268179,P00086,Synthetic Cooperative Bank
A00174,08058899058081,P00017,Mock Union Bank
A00175,34050810563586,P00034,Fictional National Bank
A00176,13116694602124,P01267,Sample Trust Bank
A00177,64281259836207,P01923,Mock Union Bank
A00178,84959126092033,P01241,Fictional National Bank
A00179,46565716657813,P01443,Fictional National Bank
A00180,99504389641645,P00560,Fictional National Bank
A00181,29532230724876,P01053,Mock Union Bank
A00182,26139557458618,P00185,Fictional National Bank
A00183,83934083544278,P01373,Mock Union Bank
A00184,81920696569325,P01129,Sample Trust Bank
A00185,76223683127534,P01615,Fictional National Bank
A00186,99557802280177,P01062,Fictional National Bank
A00187,06294502694473,P01354,Mock Union Bank
A00188,41439103231866,P01331,Sample Trust Bank
A00189,06674772011040,P01709,Synthetic Cooperative Bank
A00190,37826018777953,P01013,Synthetic Cooperative Bank
A00191,42253939224257,P01729,Sample Trust Bank
A00192,27745750218852,P00891,Fictional National Bank
A00193,48460363839687,P00194,Mock Union Bank
A00194,04759835894770,P00344,Sample Trust Bank
A00195,39285320254616,P01150,Sample Trust Bank
A00196,46778189863613,P01183,Mock Union Bank
A00197,45921185723501,P01235,Mock Union Bank
A00198,77962638965499,P00912,Sample Trust Bank
A00199,91782200810014,P01355,Synthetic Cooperative Bank
A00200,66906251575951,P01003,Mock Union Bank
A00201,09671080045872,P01730,Mock Union Bank
A00202,27496652948305,P00307,Fictional National Bank
A00203,97251234335367,P00903,Mock Union Bank
A00204,77734265875031,P01349,Fictional National Bank
A00205,97914077128061,P00588,Fictional National Bank
A00206,46669747217124,P00952,Synthetic Cooperative Bank
A00207,68303253695255,P00728,Sample Trust Bank
A00208,67350781072839,P01449,Mock Union Bank
A00209,64612614993631,P01618,Sample Trust Bank
A00210,75644390951956,P00344,Sample Trust Bank
A00211,00636210516407,P00430,Sample Trust Bank
A00212,04811353739652,P01736,Sample Trust Bank
A00213,29598677705548,P01837,Fictional National Bank
A00214,29969915482700,P00938,Synthetic Cooperative Bank
A00215,31326893746021,P01147,Synthetic Cooperative Bank
A00216,88415771291842,P00860,Mock Union Bank
A00217,95617655892235,P00125,Mock Union Bank
A00218,85870630228293,P01761,Synthetic Cooperative Bank
A00219,28789715359647,P00705,Synthetic Cooperative Bank
A00220,47464550728310,P00808,Fictional National Bank
A00221,50880875645058,P01998,Fictional National Bank
A00222,58010886797447,P01300,Sample Trust Bank
A00223,37886636465333,P00159,Mock Union Bank
A00224,74963379226281,P01630,Fictional National Bank
A00225,23743873450521,P00683,Mock Union Bank
A00226,04726097962914,P00018,Mock Union Bank
A00227,77366098591981,P01895,Sample Trust Bank
A00228,73665397885874,P01498,Mock Union Bank
A00229,57131984449616,P01799,Synthetic Cooperative Bank
A00230,52574777437212,P01684,Synthetic Cooperative Bank
A00231,87756191898755,P01009,Sample Trust Bank
A00232,83229000590545,P01184,Fictional National Bank
A00233,65854059193442,P00865,Mock Union Bank
A00234,71239330653353,P00804,Mock Union Bank
A00235,75980962821960,P01224,Sample Trust Bank
A00236,57882737630977,P01119,Synthetic Cooperative Bank
A00237,83666097978550,P01161,Fictional National Bank
A00238,44507296290107,P01370,Synthetic Cooperative Bank
A00239,26527825463059,P01420,Mock Union Bank
A00240,56711775398724,P01338,Mock Union Bank
A00241,98708840755380,P01106,Mock Union Bank
A00242,65972683950705,P00387,Fictional National Bank
A00243,06967212815683,P01587,Sample Trust Bank
A00244,27853798214924,P01556,Fictional National Bank
A00245,17306390858306,P00440,Mock Union Bank
A00246,83681672386656,P01364,Fictional National Bank
A00247,77559573541057,P01864,Sample Trust Bank
A00248,25040258988108,P01793,Mock Union Bank
A00249,87235784572080,P01606,Synthetic Cooperative Bank
A00250,10415074931660,P00564,Fictional National Bank
A00251,11556613404750,P00846,Fictional National Bank
A00252,45840892270699,P00082,Fictional National Bank
A00253,64949356580363,P01848,Synthetic Cooperative Bank
A00254,72245581708335,P00792,Fictional National Bank
A00255,42449663900045,P01558,Synthetic Cooperative Bank
A00256,80488672514096,P01183,Fictional National Bank
A00257,09987317098166,P01472,Fictional National Bank
A00258,03846912815016,P00441,Mock Union Bank
A00259,66257312536127,P00641,Sample Trust Bank
A00260,76229579474508,P01186,Fictional National Bank
A00261,89717331571604,P01260,Synthetic Cooperative Bank
A00262,14471650441526,P00752,Mock Union Bank
A00263,58296945419137,P00557,Fictional National Bank
A00264,87620938373965,P00498,Synthetic Cooperative Bank
A00265,27607414644026,P00612,Fictional National Bank
A00266,34255561832621,P00375,Synthetic Cooperative Bank
A00267,15510954252750,P01064,Mock Union Bank
A00268,88084820727126,P00789,Synthetic Cooperative Bank
A00269,02937813267273,P00407,Synthetic Cooperative Bank
A00270,62776746958819,P00303,Mock Union Bank
A00271,87749294499313,P01518,Sample Trust Bank
A00272,72668490536678,P00968,Synthetic Cooperative Bank
A00273,03161317790534,P01519,Fictional National Bank
A00274,88333151801664,P01824,Fictional National Bank
A00275,62801938895311,P00309,Mock Union Bank
A00276,39781573415910,P00542,Sample Trust Bank
A00277,08623650460262,P01543,Synthetic Cooperative Bank
A00278,78922518261350,P00609,Sample Trust Bank
A00279,08401579970629,P00242,Fictional National Bank
A00280,97526866508368,P00072,Fictional National Bank
A00281,82140737308714,P01519,Synthetic Cooperative Bank
A00282,39092005626070,P01155,Synthetic Cooperative Bank
A00283,47485798889213,P01969,Synthetic Cooperative Bank
A00284,81522932297254,P00915,Fictional National Bank
A00285,93847543188645,P00215,Mock Union Bank
A00286,00792463669837,P00898,Mock Union Bank
A00287,50458387500770,P00709,Fictional National Bank
A00288,17211359804333,P01458,Fictional National Bank
A00289,56964010146019,P01606,Synthetic Cooperative Bank
A00290,35206226093164,P01978,Synthetic Cooperative Bank
A00291,63316140823101,P01516,Sample Trust Bank
A00292,71994574051995,P00169,Fictional National Bank
A00293,90056735263595,P01107,Fictional National Bank
A00294,63524130228671,P00933,Fictional National Bank
A00295,56024923577741,P00779,Mock Union Bank
A00296,57175322799752,P01158,Sample Trust Bank
A00297,58789891683171,P01970,Mock Union Bank
A00298,11142412484546,P01727,Sample Trust Bank
A00299,37174190669545,P00430,Fictional National Bank
A00300,70340117617061,P01085,Synthetic Cooperative Bank
A00301,01127383181720,P01299,Synthetic Cooperative Bank
A00302,79656400191542,P01927,Sample Trust Bank
A00303,78241164342411,P01441,Mock Union Bank
A00304,75466248223064,P01752,Synthetic Cooperative Bank
A00305,16846038951592,P01480,Synthetic Cooperative Bank
A00306,66521746453316,P00547,Mock Union Bank
A00307,50605411371346,P01160,Synthetic Cooperative Bank
A00308,07890786957601,P01265,Synthetic Cooperative Bank
A00309,41544747334359,P01967,Sample Trust Bank
A00310,97016852531750,P00485,Mock Union Bank
A00311,93701185968974,P01966,Fictional National Bank
A00312,52905509579281,P01470,Mock Union Bank
A00313,26680639924161,P00882,Fictional National Bank
A00314,40627890880683,P01194,Fictional National Bank
A00315,21795928223312,P01517,Mock Union Bank
A00316,72503856162714,P00767,Fictional National Bank
A00317,27732357374214,P00373,Synthetic Cooperative Bank
A00318,42079374158719,P00025,Mock Union Bank
A00319,05925309558779,P00280,Synthetic Cooperative Bank
A00320,27379572381612,P00776,Synthetic Cooperative Bank
A00321,51113301075350,P00168,Synthetic Cooperative Bank
A00322,69484123222320,P01733,Sample Trust Bank
A00323,85709439137085,P01564,Sample Trust Bank
A00324,37921316822608,P01916,Fictional National Bank
A00325,93715193178449,P01233,Synthetic Cooperative Bank
A00326,37473811337049,P01079,Mock Union Bank
A00327,45540770053558,P00777,Synthetic Cooperative Bank
A00328,48118082938502,P01703,Mock Union Bank
A00329,98258753715641,P00975,Mock Union Bank
A00330,33070666706331,P01764,Fictional National Bank
A00331,16119553093731,P01145,Synthetic Cooperative Bank
A00332,03779170379306,P00501,Fictional National Bank
A00333,92004582072162,P01616,Mock Union Bank
A00334,42468473255065,P00886,Synthetic Cooperative Bank
A00335,90536791207209,P01150,Mock Union Bank
A00336,90355081996844,P00941,Mock Union Bank
A00337,78174420540515,P00860,Mock Union Bank
A00338,40920167599300,P00828,Fictional National Bank
A00339,41405806709144,P00441,Sample Trust Bank
A00340,84000040046454,P00709,Sample Trust Bank
A00341,34875256048992,P00758,Mock Union Bank
A00342,25760138079511,P00778,Fictional National Bank
A00343,16525081595904,P00334,Synthetic Cooperative Bank
A00344,07174164776310,P00210,Synthetic Cooperative Bank
A00345,23197670254616,P01548,Mock Union Bank
A00346,46964589244183,P01834,Synthetic Cooperative Bank
A00347,11372447929759,P01011,Fictional National Bank
A00348,44894009465846,P01433,Synthetic Cooperative Bank
A00349,92488780737676,P01759,Mock Union Bank
A00350,73780534251918,P01703,Sample Trust Bank
A00351,28974767666091,P00236,Fictional National Bank
A00352,52642599317697,P01204,Fictional National Bank
A00353,56759105639670,P01059,Mock Union Bank
A00354,77714057702501,P01707,Mock Union Bank
A00355,44940998575256,P00728,Synthetic Cooperative Bank
A00356,48455576633542,P00972,Fictional National Bank
A00357,50953072772827,P01415,Sample Trust Bank
A00358,88708942660366,P01142,Fictional National Bank
A00359,27644829435007,P01568,Sample Trust Bank
A00360,65377784247164,P01597,Fictional National Bank
A00361,63695072592501,P01173,Sample Trust Bank
A00362,56978079823070,P01211,Fictional National Bank
A00363,33490237432692,P01043,Mock Union Bank
A00364,18016959911294,P01244,Sample Trust Bank
A00365,03118287914659,P01795,Mock Union Bank
A00366,12033905966694,P00189,Synthetic Cooperative Bank
A00367,43837542884637,P00430,Sample Trust Bank
A00368,85030277217931,P00471,Sample Trust Bank
A00369,05532679924483,P00311,Sample Trust Bank
A00370,87793889491286,P00280,Sample Trust Bank
A00371,77478691040762,P00325,Sample Trust Bank
A00372,65241573180204,P01728,Fictional National Bank
A00373,07191294337026,P00517,Mock Union Bank
A00374,14963550193531,P00865,Fictional National Bank
A00375,15845673137001,P00061,Sample Trust Bank
A00376,31756073021737,P00542,Synthetic Cooperative Bank
A00377,97010149262189,P00462,Synthetic Cooperative Bank
A00378,24006138654966,P01831,Fictional National Bank
A00379,51435804711800,P00334,Mock Union Bank
A00380,15311959602769,P00670,Synthetic Cooperative Bank
A00381,47796605485625,P01590,Sample Trust Bank
A00382,42246406948617,P00692,Mock Union Bank
A00383,18277114881605,P01701,Fictional National Bank
A00384,97557082678650,P01890,Mock Union Bank
A00385,41442942670880,P00532,Mock Union Bank
A00386,15137862684970,P01692,Mock Union Bank
A00387,16981420768170,P00279,Fictional National Bank
A00388,14365972397661,P00849,Fictional National Bank
A00389,17150076017518,P00613,Fictional National Bank
A00390,77842845576186,P00012,Sample Trust Bank
A00391,06672192283491,P00953,Mock Union Bank
A00392,92152725978336,P00406,Sample Trust Bank
A00393,40891205994476,P01816,Fictional National Bank
A00394,25620836108802,P00179,Mock Union Bank
A00395,01620637035595,P00972,Fictional National Bank
A00396,67616629658636,P00624,Fictional National Bank
A00397,53687320922545,P00257,Fictional National Bank
A00398,06940978738718,P01604,Synthetic Cooperative Bank
A00399,41000665848439,P01270,Synthetic Cooperative Bank
A00400,04603560897064,P01907,Synthetic Cooperative Bank
A00401,90447905830470,P00929,Synthetic Cooperative Bank
A00402,89027645130050,P00967,Fictional National Bank
A00403,85754738808427,P01782,Mock Union Bank
A00404,28285072553205,P00052,Synthetic Cooperative Bank
A00405,51550135247117,P01921,Sample Trust Bank
A00406,50513918418051,P01342,Mock Union Bank
A00407,00740451569933,P00199,Synthetic Cooperative Bank
A00408,92689947387930,P00935,Synthetic Cooperative Bank
A00409,23906056360712,P01346,Mock Union Bank
A00410,13739491258193,P01653,Sample Trust Bank
A00411,43643653145945,P00765,Sample Trust Bank
A00412,15089514631879,P01103,Sample Trust Bank
A00413,33023042333883,P01751,Fictional National Bank
A00414,60250927040043,P01320,Sample Trust Bank
A00415,68470726027578,P01852,Sample Trust Bank
A00416,36805373808823,P01902,Synthetic Cooperative Bank
A00417,09701998247707,P01761,Mock Union Bank
A00418,62109863678281,P00193,Sample Trust Bank
A00419,96006688127904,P01088,Synthetic Cooperative Bank
A00420,84658068179224,P00729,Fictional National Bank
A00421,97970310808348,P01329,Fictional National Bank
A00422,54487890483346,P01234,Mock Union Bank
A00423,72602131806664,P01077,Fictional National Bank
A00424,99743087803782,P00629,Mock Union Bank
A00425,37126887041557,P01410,Fictional National Bank
A00426,73142175624799,P00459,Mock Union Bank
A00427,43317827305976,P01929,Sample Trust Bank
A00428,84078464015774,P00261,Sample Trust Bank
A00429,21997856525542,P01940,Mock Union Bank
A00430,66729299072267,P00660,Mock Union Bank
A00431,01541382738688,P00087,Synthetic Cooperative Bank
A00432,92389862254686,P01978,Synthetic Cooperative Bank
A00433,61035657480843,P01125,Sample Trust Bank
A00434,14926273506001,P01302,Synthetic Cooperative Bank
A00435,64609614909100,P01641,Fictional National Bank
A00436,59545430017846,P00850,Synthetic Cooperative Bank
A00437,74205225898730,P01306,Sample Trust Bank
A00438,32166569107086,P01541,Fictional National Bank
A00439,71340250064227,P01724,Sample Trust Bank
A00440,43494652650534,P01810,Sample Trust Bank
A00441,41160285953887,P01772,Mock Union Bank
A00442,87592041552823,P00709,Fictional National Bank
A00443,16430329774443,P01605,Synthetic Cooperative Bank
A00444,29457867404772,P01545,Mock Union Bank
A00445,64972834190671,P01270,Fictional National Bank
A00446,97844298299316,P00063,Mock Union Bank
A00447,28265859702489,P00255,Fictional National Bank
A00448,57999158434565,P00004,Fictional National Bank
A00449,34344070806313,P01300,Mock Union Bank
A00450,43578459073128,P01219,Synthetic Cooperative Bank
A00451,11264218154478,P00146,Synthetic Cooperative Bank
A00452,70705070950626,P01526,Synthetic Cooperative Bank
A00453,62432657207980,P00365,Mock Union Bank
A00454,07893798775239,P01472,Sample Trust Bank
A00455,36918454419838,P01665,Mock Union Bank
A00456,92826290165159,P00894,Mock Union Bank
A00457,47871553331793,P00326,Fictional National Bank
A00458,34756196176502,P01579,Fictional National Bank
A00459,00278649958700,P01598,Mock Union Bank
A00460,25380631905376,P00232,Synthetic Cooperative Bank
A00461,87927462268975,P00334,Synthetic Cooperative Bank
A00462,52438720757931,P00176,Mock Union Bank
A00463,44941996459624,P01717,Synthetic Cooperative Bank
A00464,09277157368507,P01105,Fictional National Bank
A00465,18251103186720,P00630,Sample Trust Bank
A00466,14456619667601,P00702,Mock Union Bank
A00467,43401026557647,P00107,Mock Union Bank
A00468,65732977410506,P00827,Mock Union Bank
A00469,23309462147061,P01228,Sample Trust Bank
A00470,53730534289078,P01898,Fictional National Bank
A00471,62930961507106,P01267,Sample Trust Bank
A00472,90367059041179,P00234,Sample Trust Bank
A00473,63199467099608,P00873,Sample Trust Bank
A00474,61229830878847,P00533,Sample Trust Bank
A00475,88824375968686,P01695,Synthetic Cooperative Bank
A00476,48230097154759,P00882,Mock Union Bank
A00477,33672115678140,P00034,Synthetic Cooperative Bank
A00478,24649137165094,P01806,Synthetic Cooperative Bank
A00479,31596378131915,P01325,Fictional National Bank
A00480,13690047904644,P01020,Mock Union Bank
A00481,58151939427891,P00118,Fictional National Bank
A00482,26890098606814,P01241,Mock Union Bank
A00483,66611772942067,P01715,Fictional National Bank
A00484,05858240497795,P01114,Sample Trust Bank
A00485,00303151861759,P00345,Sample Trust Bank
A00486,24947641949583,P00348,Synthetic Cooperative Bank
A00487,19901026334922,P01992,Sample Trust Bank
A00488,77085942682395,P01831,Mock Union Bank
A00489,44821380115576,P00517,Mock Union Bank
A00490,51398553237508,P01552,Synthetic Cooperative Bank
A00491,31752523243421,P01218,Synthetic Cooperative Bank
A00492,79656280733500,P01136,Sample Trust Bank
A00493,55804829407828,P01417,Sample Trust Bank
A00494,58729370625873,P00368,Sample Trust Bank
A00495,05582262316750,P00041,Fictional National Bank
A00496,32703414775688,P00166,Sample Trust Bank
A00497,71379987080538,P00418,Synthetic Cooperative Bank
A00498,98122396575376,P01078,Mock Union Bank
A00499,51256222083464,P01607,Mock Union Bank
A00500,29961380718606,P01592,Synthetic Cooperative Bank
A00501,45106838292162,P01210,Sample Trust Bank
A00502,27857103630569,P00031,Mock Union Bank
A00503,62509694123528,P01301,Fictional National Bank
A00504,88860811071492,P01353,Synthetic Cooperative Bank
A00505,03680858844437,P01405,Synthetic Cooperative Bank
A00506,32677638319180,P01554,Mock Union Bank
A00507,43097975684218,P00457,Fictional National Bank
A00508,01874729131126,P01112,Mock Union Bank
A00509,74603023121781,P01237,Sample Trust Bank
A00510,04232758881185,P01565,Synthetic Cooperative Bank
A00511,30416527261891,P00052,Fictional National Bank
A00512,31001792513622,P01149,Synthetic Cooperative Bank
A00513,01370209819401,P01086,Mock Union Bank
A00514,61360772720450,P00762,Fictional National Bank
A00515,35333501626251,P00859,Fictional National Bank
A00516,94617305151332,P00612,Fictional National Bank
A00517,73092407413596,P01183,Sample Trust Bank
A00518,39036385743391,P00667,Mock Union Bank
A00519,00084162675014,P01742,Sample Trust Bank
A00520,14650039455846,P01035,Mock Union Bank
A00521,01819023201651,P01285,Fictional National Bank
A00522,09175075192677,P00798,Mock Union Bank
A00523,46162284396568,P01598,Sample Trust Bank
A00524,20204871036534,P01563,Sample Trust Bank
A00525,41442719745314,P00741,Mock Union Bank
A00526,50800290695473,P01160,Mock Union Bank
A00527,42729436109098,P00839,Synthetic Cooperative Bank
A00528,08146470236074,P00511,Fictional National Bank
A00529,60225255313417,P00975,Sample Trust Bank
A00530,28095417540163,P00367,Sample Trust Bank
A00531,58482817393396,P01227,Fictional National Bank
A00532,82965612064646,P00054,Sample Trust Bank
A00533,78562508450143,P00741,Synthetic Cooperative Bank
A00534,09928610285514,P00704,Synthetic Cooperative Bank
A00535,25520328659181,P01054,Fictional National Bank
A00536,28390530673083,P01552,Fictional National Bank
A00537,84016776921910,P00448,Mock Union Bank
A00538,71970957445406,P00026,Fictional National Bank
A00539,38767384315567,P01774,Sample Trust Bank
A00540,97929626327324,P01215,Synthetic Cooperative Bank
A00541,03919056651413,P00968,Mock Union Bank
A00542,76832987681605,P00377,Fictional National Bank
A00543,70242363743738,P01165,Fictional National Bank
A00544,18434135716826,P00135,Fictional National Bank
A00545,47620734787354,P00130,Fictional National Bank
A00546,55647311688592,P00550,Sample Trust Bank
A00547,70088943830148,P00790,Mock Union Bank
A00548,16560880418902,P00937,Mock Union Bank
A00549,62882617346087,P00558,Synthetic Cooperative Bank
A00550,63149318137229,P01520,Synthetic Cooperative Bank
A00551,04503083491164,P01035,Sample Trust Bank
A00552,92738681337227,P00812,Fictional National Bank
A00553,55392588302136,P01117,Sample Trust Bank
A00554,03384178760287,P00126,Mock Union Bank
A00555,07264881050391,P01196,Sample Trust Bank
A00556,12883793985930,P00950,Synthetic Cooperative Bank
A00557,27814695395369,P01929,Synthetic Cooperative Bank
A00558,20724861156230,P00475,Sample Trust Bank
A00559,01946701412804,P00989,Mock Union Bank
A00560,20836248748562,P00865,Synthetic Cooperative Bank
A00561,88617327760639,P01628,Mock Union Bank
A00562,36899065741698,P01280,Mock Union Bank
A00563,66337561845357,P01288,Sample Trust Bank
A00564,78592945836188,P00952,Synthetic Cooperative Bank
A00565,48923960424450,P00866,Synthetic Cooperative Bank
A00566,67021782959881,P00696,Sample Trust Bank
A00567,03763294038043,P01512,Sample Trust Bank
A00568,26980865510861,P00501,Sample Trust Bank
A00569,07839313294027,P01828,Mock Union Bank
A00570,25016575557486,P01176,Synthetic Cooperative Bank
